type,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,location,district,distance_to_center,floor-area-estimate
Flat,False,142,3rd,4,2,True,True,True,True,True,True,False,True,False,True,True,False,"Calle del Corazón de María, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.354667049428781,82.0
Flat,False,112,2nd,3,2,True,True,False,True,True,True,True,True,False,False,False,False,"Paseo de la Habana, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.893572800846191,110.0
Penthouse,False,100,6th,2,2,True,True,False,True,True,True,False,True,False,False,False,False,"Calle Colombia, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.165372728353356,75.0
Duplex,False,363,ground,4,6,True,True,False,True,True,True,True,False,False,False,True,False,"Calle de Alfonso Rodríguez Santamaría, 4, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.856272658048429,272.25
Penthouse,False,180,3rd,4,4,True,True,True,True,True,True,False,True,False,True,True,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,135.0
Flat,False,65,7th,1,1,True,True,False,True,True,True,True,False,False,False,False,False,"Paseo de la castellana, 266, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.390310572340169,48.75
Flat,False,223,3rd,5,3,True,True,True,True,True,True,True,True,False,True,True,False,"Calle Antonio Rodríguez Villa, 3, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.4844884826217055,167.25
Flat,True,56,4th,1,1,True,True,False,True,True,True,True,False,False,False,False,False,"Calle de Mauricio Legendre, 38, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.795472955909416,42.0
Flat,True,85,6th,3,2,True,True,True,True,True,True,True,False,False,True,False,False,"Calle de López de Hoyos, 61, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.704011718416878,63.75
Flat,True,180,2nd,4,3,True,True,True,True,True,True,True,False,False,True,False,False,"Calle de Honduras, 13, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.2330457357614195,135.0
Flat,False,76,6th,1,1,True,True,False,False,False,True,True,False,False,False,False,False,"Calle de Juan Ramón Jiménez, 8, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.835237910448587,74.0
Flat,False,75,3rd,2,1,True,True,False,True,True,True,True,False,False,False,False,False,"Juan Ramón Jimenez, 8, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.835237910448587,56.25
Flat,False,181,4th,3,3,True,True,False,True,True,True,True,True,False,True,False,False,"Calle Álvarez de Baena, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,2.724861434675148,157.0
Flat,False,160,3rd,3,2,True,True,False,True,True,True,True,False,False,False,False,False,"Avenida de Alberto Alcocer, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.966892516819368,120.0
Flat,False,200,3rd,4,5,True,True,False,True,True,True,True,True,False,False,True,False,"Paseo de la Habana, Madrid, 87, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.892194285047727,150.0
Flat,False,48,8th,1,1,True,True,False,True,True,True,False,False,False,False,False,False,"Calle Nuñez de Balboa, 118, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.018423986907236,36.0
Flat,False,175,5th,3,3,True,True,True,True,True,False,False,True,False,True,True,False,"Calle infanta teresa, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.572258744699337,131.25
Flat,False,211,4th,4,3,True,True,True,True,True,True,False,True,True,False,True,False,"Avenida de Pío XII, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.715079668478869,200.0
Duplex,False,517,ground,6,7,True,True,True,True,True,True,True,True,False,False,True,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,387.75
Flat,False,70,70,1,1,True,True,True,False,False,False,True,False,False,False,True,False,"Avenida de Pío XII, Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.364712547198341,50.0
Flat,False,149,2nd,3,2,True,True,True,True,True,True,True,False,False,False,True,False,", Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.674803344549428,111.75
Flat,False,92,9th,2,2,True,True,False,True,True,True,True,True,False,False,False,False,"Calle del Corazón de María, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.354667049428781,69.0
Flat,False,65,2nd,2,1,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de Gabriel Lobo, 20, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.588908448217964,55.0
Flat,False,211,4th,4,3,True,True,True,True,True,True,False,True,False,False,True,False,"Avenida de Pío XII, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.715079668478869,200.0
Flat,False,91,2nd,3,2,True,True,False,True,True,False,False,False,False,False,False,False,"Calle de Nieremberg, Subdistrict Ciudad Jardín, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.368033066660659,75.0
Flat,False,202,5th,5,2,True,True,True,True,True,True,True,False,False,True,False,False,"Calle de Rafael Salgado, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,170.0
Flat,False,236,1st,3,2,True,True,False,True,True,False,True,False,False,False,True,False,", Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.048213034006869,177.0
Flat,True,50,1st,1,1,True,True,False,True,True,True,True,False,False,False,True,False,"Calle Apolonio Morales, 6, Urb. Jardin de Arichuna, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.553974233626116,44.0
Flat,False,151,6th,2,3,True,True,True,True,True,True,True,True,False,True,True,False,"Calle del Padre Damián, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.077838149894974,113.25
Flat,False,175,5th,3,3,True,True,True,True,True,False,False,True,False,False,True,False,", Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.239223161668746,131.25
Penthouse,True,62,7th,1,1,True,True,False,True,True,True,True,False,False,False,False,False,"Calle de Santa Hortensia, 15, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.27065884007619,55.0
Flat,False,205,2nd,3,3,True,True,True,True,True,True,True,True,False,False,False,False,"Calle de Henri Dunant, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.133595292119251,153.75
Penthouse,False,130,4th,1,1,True,True,True,True,True,True,True,True,False,True,True,False,", Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.866979965549538,120.0
Flat,False,180,2nd,3,3,True,True,True,False,False,True,True,True,False,False,False,False,"Paseo de la Castellana, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.269174206620637,135.0
Duplex,True,75,4th,0,1,True,True,False,True,True,False,False,False,False,True,False,False,"Lopez de hoyos, 158, Urb. chamartim, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.282466221472514,70.0
Flat,False,45,2nd,1,1,True,True,False,True,True,False,True,False,False,False,False,False,"Avenida de Alberto Alcocer, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.966892516819368,33.75
Flat,False,123,4th,3,2,True,True,True,True,True,True,False,False,False,True,True,False,", Subdistrict Castilla, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,6.674803344549428,72.0
Flat,False,305,3rd,5,4,True,True,True,True,True,True,True,True,False,True,True,False,"Paseo de la Habana, Madrid, 71, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.6843471096222915,275.0
Duplex,True,136,1st,3,2,True,True,True,True,True,True,True,False,False,True,False,False,"Calle del Padre Damián, 31, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.98769316487766,125.0
Flat,False,211,4th,4,3,True,True,True,True,True,True,False,True,False,False,True,False,"Avenida de Pio XII, Subdistrict Nueva España, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,5.715079668478869,158.25
Flat,False,200,6th,4,3,True,True,True,True,True,True,True,False,False,True,True,False,"Calle de Santiago Bernabéu, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.955667621263214,150.0
Penthouse,True,87,6th,1,1,True,True,False,True,True,True,True,True,False,False,False,False,"Calle de Canillas, 25, Subdistrict Prosperidad, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.6719224313586185,76.0
Flat,False,250,3rd,5,3,True,True,True,True,True,True,True,True,False,True,False,False,"Paseo de la Castellana, Subdistrict El Viso, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,3.3168792369897484,187.5
Flat,False,47,2nd,1,1,True,True,False,True,True,True,True,False,False,False,True,False,"Avenida de Alberto de Alcocer, Subdistrict Bernabéu-Hispanoamérica, District Chamartín, Madrid, Madrid city, Madrid",Chamartín,4.966892516819368,35.25
